position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,LINK REAL ESTATE GROUP LLC,4619 REFUGEE RD,236,0.29
2,2020-03-15,LATITUDE 25 LLC,529 SAWYER BLVD,223,0.29
3,2020-03-15,LINK REAL ESTATE GROUP LLC,693 E WELCH AVE,141,0.29
4,2020-03-15,RG TOWNHOMES LLC,628 E FRANSHIRE,132,0.29
5,2020-03-15,5812 INVESTMENT GROUP LLC,1178 FOUNTAIN LN,124,0.29
6,2020-03-15,LINK REAL ESTATE GROUP LLC,4525 LAKE SIDE N,124,0.29
7,2020-03-15,5812 INVESTMENT GROUP LLC,2093 LAKE CLUB DR,116,0.29
8,2020-03-15,HORIZONS ASSET MANAGEMENT LLC,4039 VINESHIRE DR,103,0.29
9,2020-03-15,RG TOWNHOMES LLC,4356 LEESBURG CT N,90,0.29
10,2020-03-15,5812 INVESTMENT GROUP LLC,6885 GREENLEAF DR,83,0.29
1,2021-07-04,LINK REAL ESTATE GROUP LLC,4591 REFUGEE RD,48,0.292
2,2021-07-04,BEXLEY PROJECT 1 LLC,3050 E LIVINGSTON AVE,38,0.292
3,2021-07-04,LINK REAL ESTATE GROUP LLC,693 E WELCH AVE,25,0.292
4,2021-07-04,LINK REAL ESTATE GROUP LLC,2391 SHORE BLVD E,21,0.292
5,2021-07-04,COLONIAL PROPERTY HOLDINGS LLC,1239 BROOKWAY RD,21,0.292
6,2021-07-04,FORESITE REALTY OH LLC,887 E DUBLIN-GRANVILLE RD,19,0.292
7,2021-07-04,HORIZONS ASSET MANAGEMENT LLC,1809 ELAINE RD,17,0.292
8,2021-07-04,T & R PROPERTIES INC,6197 LOWRIDGE DR,14,0.292
9,2021-07-04,5812 INVESTMENT GROUP LLC,1178 FOUNTAIN LN,13,0.292
10,2021-07-04,5 WEST GROUP LLC,1490 W RICH ST,13,0.292
