position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-03-01,2026-02-28,REDFORD OWNER LLC,1221 REDFORD ST,457,0.154,29.644368,-95.240619
2,2025-03-01,2026-02-28,DEL MAR APARTMENTS,10909 I-45,433,0.154,29.635076,-95.235795
3,2025-03-01,2026-02-28,WESTWOOD HOUSTON OWNER LLC,10225 BISSONNET ST,273,0.154,29.673871,-95.558688
4,2025-03-01,2026-02-28,TIMBER RIDGE HOUSTON OWNER LLC,12000 FLEMING DR,258,0.154,29.773624,-95.223007
5,2025-03-01,2026-02-28,BW-CCV SKYLAR POINTE DE LLC,1110 EL CAMINO VILLAGE DR,226,0.154,29.549541,-95.105388
6,2025-03-01,2026-02-28,HAYDEN AT ENCLAVE,12951 BRIAR FOREST DR,200,0.154,29.75139,-95.617896
7,2025-03-01,2026-02-28,5410 NORTH BRAESWOOD BOULEVARD LLC,9251 BURDINE ST,189,0.154,29.67734,-95.481624
8,2025-03-01,2026-02-28,STERLING POINT,6550 HILLCROFT ST,188,0.154,29.70738,-95.496142
9,2025-03-01,2026-02-28,ABBEY AT BRIAR FOREST,1919 S KIRKWOOD RD,165,0.154,29.745994,-95.586422
10,2025-03-01,2026-02-28,LIFE AT SPRING ESTATES OWNER LLC,16112 I-45,161,0.154,30.004315,-95.424969
11,2025-03-01,2026-02-28,CHASE VIEW,201 PLAZA VERDE DR,158,0.154,29.933484,-95.416345
12,2025-03-01,2026-02-28,RESIDENCES AT THE MED,2111 HOLLY HALL ST,151,0.154,29.687476,-95.399407
13,2025-03-01,2026-02-28,"MAIN SB, LLC",9100 WESTHEIMER RD,151,0.154,29.73881,-95.52329
14,2025-03-01,2026-02-28,ESTATES AT CYPRESS,11800 GRANT RD,149,0.154,29.977067,-95.601437
15,2025-03-01,2026-02-28,PINE TERRACE,3921 OMEARA DR,141,0.154,29.671987,-95.438985
16,2025-03-01,2026-02-28,2501 WESTRIDGE LLC,2501 WESTRIDGE ST,140,0.154,29.681903,-95.416724
17,2025-03-01,2026-02-28,THE ABBEY AT ENCLAVE,1911 WESTMEAD DR,139,0.154,29.74549,-95.613955
18,2025-03-01,2026-02-28,CHATEAUX DIJON,5414 BEVERLY HILL ST,139,0.154,29.729978,-95.471983
19,2025-03-01,2026-02-28,REEP-AO SOUTH MAIN OWNER LLC,12111 1/2 12111 1/2 MAIN ST,139,0.154,29.649081,-95.454056
20,2025-03-01,2026-02-28,ASHFORD SANTA ANA APARTMENTS,3400 WOODCHASE DR,138,0.154,29.726127,-95.546252
21,2025-03-01,2026-02-28,ARCADIA AT WESTHEIMER,2503 PANAGARD DR,137,0.154,29.732822,-95.631617
22,2025-03-01,2026-02-28,RED PINES APTS,3823 RED BLUFF RD,136,0.154,29.684864,-95.15201
23,2025-03-01,2026-02-28,CAMPUS VUE,4459 N MACGREGOR WAY,133,0.154,29.713648,-95.342537
24,2025-03-01,2026-02-28,2600 MAINRIDGE LLC,2600 WESTRIDGE ST,132,0.154,29.682898,-95.418732
25,2025-03-01,2026-02-28,CDE GRAHAM 446 LLC,250 UVALDE RD,130,0.154,29.796473,-95.185735
26,2025-03-01,2026-02-28,HEIGHTS AT POST OAK OWNER LLC,12500 DUNLAP ST,128,0.154,29.639893,-95.49478
27,2025-03-01,2026-02-28,G  & I IX ARTESIAN JV LLC,2727 SYNOTT RD,128,0.154,29.730819,-95.61919
28,2025-03-01,2026-02-28,"11011 PLEASANT, LLC",11011 PLEASANT COLONY DR,128,0.154,29.896036,-95.587932
29,2025-03-01,2026-02-28,DLP HOUSTON VENTURES I LLC,4971 MARTIN LUTHER KING JR BLVD,126,0.154,29.708003,-95.334856
30,2025-03-01,2026-02-28,2013 HOUSTON SUNNYSIDE STREET LLC,303 ROSAMOND ST,126,0.154,29.855149,-95.395554
31,2025-03-01,2026-02-28,RSP PROJECT COMPANY LLC,13588 ELLA BLVD,123,0.154,29.964416,-95.428776
32,2025-03-01,2026-02-28,"2500 WOODLAND PARK TENANT, LP",2500 WOODLAND PARK DR,122,0.154,29.738451,-95.583425
33,2025-03-01,2026-02-28,NEO AT TEN LP,14805 GRISBY RD,117,0.154,29.782047,-95.645676
34,2025-03-01,2026-02-28,ROSEMONT ON EL DORADO,265 EL DORADO BLVD,116,0.154,29.55872,-95.148668
35,2025-03-01,2026-02-28,"GEP XI BIRCHWAY SPRING CYPRESS, LP",19101 KUYKENDAHL RD,115,0.154,30.047188,-95.493424
36,2025-03-01,2026-02-28,KINGWOOD LAKES APARTMENTS,3700 KINGWOOD DR,114,0.154,30.042845,-95.194034
37,2025-03-01,2026-02-28,CIRCLE AT POINT PARK APARTMENTS,8750 POINT PARK DR,114,0.154,29.907528,-95.634441
38,2025-03-01,2026-02-28,VISTA AZUL APARTMENTS,3500 RED BLUFF RD,112,0.154,29.684693,-95.161006
39,2025-03-01,2026-02-28,WEST HOLLOW APARTMENTS,10001 FONDREN RD,110,0.154,29.671531,-95.506346
40,2025-03-01,2026-02-28,RESIA TEN OAKS,18036 PARK ROW DR,109,0.154,29.789843,-95.694043
41,2025-03-01,2026-02-28,VALENCIA GROVE HOLDINGS,11810 ALGONQUIN DR,109,0.154,29.595117,-95.198122
42,2025-03-01,2026-02-28,TERRACES AT FALL CREEK,7800 N SAM HOUSTON PKWY,106,0.154,29.938168,-95.271728
43,2025-03-01,2026-02-28,HEIGHTS AT POST OAK OWNER LLC,12600 DUNLAP ST,105,0.154,29.636906,-95.497187
44,2025-03-01,2026-02-28,LENOX PARK APARTMENTS,12601 S GREEN DR,103,0.154,29.620011,-95.215213
45,2025-03-01,2026-02-28,G  & I X THORNBURY APARTMENTS JV LLC,7055 HOLLISTER ST,103,0.154,29.861686,-95.508573
46,2025-03-01,2026-02-28,ROCK CREEK AT HOLLOW TREE,200 HOLLOW TREE LN,102,0.154,30.027961,-95.436509
47,2025-03-01,2026-02-28,FUNDAMENTAL,905 CYPRESS STATION DR,102,0.154,30.02772,-95.439629
48,2025-03-01,2026-02-28,BRIDGES PROPERTY LLC,17710 RED OAK DR,101,0.154,30.029526,-95.451579
49,2025-03-01,2026-02-28,2400 S LOOP W LLC,2400 I-610,101,0.154,29.678413,-95.416125
50,2025-03-01,2026-02-28,GREEN CAYE VILLAGE,5043 AKUMAL CALLE,101,0.154,29.478688,-95.032557
51,2025-03-01,2026-02-28,2401 WESTRIDGE ST LLC,2401 WESTRIDGE ST,100,0.154,29.681523,-95.414995
52,2025-03-01,2026-02-28,GREENWOOD FOREST APTS,12820 GREENWOOD FOREST DR,100,0.154,29.982718,-95.504137
53,2025-03-01,2026-02-28,METRO MIDTOWN,2350 BAGBY ST,99,0.154,29.750335,-95.378487
54,2025-03-01,2026-02-28,GATEWAY ON CULLEN,1901 CULLEN BLVD,97,0.154,29.734867,-95.340317
55,2025-03-01,2026-02-28,PARK WEST APARTMENTS,15155 RICHMOND AVE,96,0.154,29.730265,-95.654066
56,2025-03-01,2026-02-28,HUE ON GREENHOUSE,2411 GREENHOUSE RD,96,0.154,29.796157,-95.704845
