position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,DEL MAR TERRACE APTS LLC,7007 W INDIAN SCHOOL RD,356,0.212
2,2020-03-15,RIVER OAKS APTS LTD PTRN,2545 N 83RD AVE,351,0.212
3,2020-03-15,WWC LV II LP INC,2627 N 45TH AVE,223,0.212
4,2020-03-15,WWC LVI LP,2222 W BEARDSLEY RD,194,0.212
5,2020-03-15,"3030 NORTH EQUITY, LLC",5220 W NORTHERN AVE,188,0.212
6,2020-03-15,VASEO APARTMENTS LP,16220 N 7TH ST,182,0.212
7,2020-03-15,5631 W COLTER ST LLC,5631 W COLTER ST,180,0.212
8,2020-03-15,MESA RIDGE NSMM LLC,650 S COUNTRY CLUB DR,179,0.212
9,2020-03-15,CAVE CREEK APARTMENTS LLC,2529 W CACTUS RD,172,0.212
10,2020-03-15,"STILLWATER OWNER, LLC",7711 N 51ST AVE,152,0.212
1,2021-07-11,RIVER OAKS APTS LTD PTRN,2545 N 83RD AVE,56,0.282
2,2021-07-11,DEL MAR TERRACE APTS LLC,7007 W INDIAN SCHOOL RD,39,0.282
3,2021-07-11,"3030 NORTH EQUITY, LLC",5220 W NORTHERN AVE,36,0.282
4,2021-07-11,KRE WWC FIESTA OWNER LP,1840 W EMELITA AVE,34,0.282
5,2021-07-11,CAVE CREEK APARTMENTS LLC,2529 W CACTUS RD,33,0.282
6,2021-07-11,FAIRWAYS ON THUNDERBIRD APARTMENTS,2140 W THUNDERBIRD RD,32,0.282
7,2021-07-11,WWC LV II LP INC,2627 N 45TH AVE,31,0.282
8,2021-07-11,"WWC LVI, LP",2222 W BEARDSLEY RD,29,0.282
9,2021-07-11,AVTAR VERMA,1225 N 40TH ST,29,0.282
10,2021-07-11,TIDES ON COUNTRY CLUB,901 S COUNTRY CLUB DR,25,0.282
