position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NA,6017 WESTLAKE NORTH DR,233,0.369
2,2020-03-15,NA,7102 KENSINGTON DR,219,0.369
3,2020-03-15,NA,6343 STOCKPORT RD,214,0.369
4,2020-03-15,NA,7144 WARRIOR TRL,192,0.369
5,2020-03-15,NA,6838 DAVID CT,185,0.369
6,2020-03-15,NA,2420 CORAL BARK PL,176,0.369
7,2020-03-15,NA,7204 HATTERAS LN,146,0.369
8,2020-03-15,NA,1745 CENTURY WAY,138,0.369
9,2020-03-15,NA,3915 DEER RDG,138,0.369
10,2020-03-15,NA,4133 EL LAGO CT,137,0.369
1,2021-07-04,NA,7116 FOXBOROUGH DR,49,0.429
2,2021-07-04,NA,5907 TRAFALGER LN,45,0.429
3,2021-07-04,NA,7217 KINGSFORD DR,39,0.429
4,2021-07-04,NA,5609 BRENDON WAY CT,29,0.429
5,2021-07-04,NA,6466 WHITEHAVEN RD,28,0.429
6,2021-07-04,NA,4219 KENNETH AVE,25,0.429
7,2021-07-04,NA,3820 FAWN DR,25,0.429
8,2021-07-04,NA,6245 ADAMS BLVD WEST DR,23,0.429
9,2021-07-04,NA,7102 KENSINGTON DR,21,0.429
10,2021-07-04,NA,3114 MERRICK LN,18,0.429
