position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2020-03-15,2023-03-04,THE RESIDENCES AT LAKEVIEW,2826 S MENDENHALL RD,1027,0.391,35.071658,-89.884826
2,2020-03-15,2023-03-04,THE TRAILS AT MT MORIAH,6403 S WHISPERING LN,539,0.391,35.061801,-89.849781
3,2020-03-15,2023-03-04,NEW HORIZON APARTMENTS,3671 CAZASSA DR,516,0.391,35.048407,-90.001866
4,2020-03-15,2023-03-04,UNIVERSITY GARDENS MANOR,1046 OAKMONT PL,508,0.391,35.165604,-89.989408
5,2020-03-15,2023-03-04,THE BOULEVARD,3860 EAGLEWOOD DR,495,0.391,35.043426,-89.858676
6,2020-03-15,2023-03-04,CEDAR RUN APARTMENTS,6016 COSMIC DR,490,0.391,35.059232,-89.863034
7,2020-03-15,2023-03-04,WINBRANCH APARTMENTS,1627 BRANCHWAY DR,489,0.391,35.052145,-90.009632
8,2020-03-15,2023-03-04,THE VIEW AT SHELBY FARMS,8260 COUNTRY SQUIRE PL,481,0.391,35.131338,-89.787749
9,2020-03-15,2023-03-04,THE PARK AT NEW CASTLE,3141 BROOKSVALLEY ST,476,0.391,35.062665,-89.830413
10,2020-03-15,2023-03-04,BENT TREE LLC,3398 W BRIARPARK DR,461,0.391,35.056096,-89.995579
1,2023-01-08,2023-03-04,LINCOLN ON THE GREEN,8288 CHAMPIONSHIP DR,45,0.446,35.053329,-89.786691
2,2023-01-08,2023-03-04,HILLCREST APARTMENTS,4184 FARONIA DR,31,0.446,35.0342,-90.018819
3,2023-01-08,2023-03-04,WASHINGTON MANOR APARTMENTS,1911 ASA DR,26,0.446,35.095347,-90.060685
4,2023-01-08,2023-03-04,THE PARK AT NEW CASTLE,3208 CYPRESS LAKE DR,26,0.446,35.060905,-89.833053
5,2023-01-08,2023-03-04,UNIVERSITY GARDENS MANOR,1010 E CABANA CIR,25,0.446,35.164629,-89.987367
6,2023-01-08,2023-03-04,COVINGTON HILLS APARTMENTS,2664 BARBARA DR,23,0.446,35.197975,-89.901207
7,2023-01-08,2023-03-04,THE VIEW AT SHELBY FARMS,8250 COUNTRY SQUIRE PL,22,0.446,35.131345,-89.788048
8,2023-01-08,2023-03-04,VILLAGE GREEN APARTMENTS,3407 ZOYSIA DR,22,0.446,35.05545,-89.855744
9,2023-01-08,2023-03-04,WINBRANCH APARTMENTS,1611 BRANCHWAY DR,21,0.446,35.052167,-90.010163
10,2023-01-08,2023-03-04,CEDAR RUN APARTMENTS,5965 E POINT DR,19,0.446,35.058814,-89.864727
