position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,ADAMS RUN HOLDING COMPANY LLC,155 E GODFREY AVE,66,0.167
2,2020-03-15,DFH REGENCY LLC,5600 OGONTZ AVE,47,0.167
3,2020-03-15,"SGYS ST. IVES, LLC",3000 WOODHAVEN RD,37,0.167
4,2020-03-15,"HENRY ON THE PARK JV, LP",7901 HENRY AVE,32,0.167
5,2020-03-15,POST PRESIDENTIAL PROPERTY OWNER LLC,3800 CITY AVE,31,0.167
6,2020-03-15,AP CANTERBURY COURT LLC,9951 ACADEMY RD,31,0.167
7,2020-03-15,RSW PREMIER HOLDINGS LLC,10825 E KESWICK RD,26,0.167
8,2020-03-15,OXFORD APT PARTNERS LP,6451-61 OXFORD AVE,24,0.167
9,2020-03-15,PENN MANOR APARTMENTS LP,7100-10 OXFORD AVE,21,0.167
10,2020-03-15,HERITAGE ASSOCIATES,2607 WELSH RD,20,0.167
1,2021-07-04,NORTHXNORTHWEST,450 N 18TH ST,6,0.213
2,2021-07-04,1920 EAST ORLEANS LIMITED PARTNERSHIP,1920 E ORLEANS ST,6,0.213
3,2021-07-04,JJY PROPERTY MANAGEMENT LLC,6649 N 16TH ST,5,0.213
4,2021-07-04,PHILADELPHIA HOUSING AUTHORITY,504 E HILL CREEK DR,5,0.213
5,2021-07-04,"IS BEE STREET, LLC",55 N 40TH ST,5,0.213
6,2021-07-04,GPX FT APARTMENT PROPERTIES LP,3601 CONSHOHOCKEN AVE,4,0.213
7,2021-07-04,"4800 STENTON, LLC",4801-13 STENTON AVE,4,0.213
8,2021-07-04,OXFORD APT PARTNERS LP,6451-61 OXFORD AVE,4,0.213
9,2021-07-04,MW MANOR LP,549 W MANHEIM ST,3,0.213
10,2021-07-04,CARMEN D CONTRERAS,3131 N FRONT ST,3,0.213
